Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,grid,10,0.5,0.1,50,22
push_sum,imperfect_grid,10,0,0.5,50,13
push_sum,imperfect_grid,10,0,0,50,13
push_sum,fully_connected,10,0.5,0.5,50,7
push_sum,imperfect_grid,10,0.1,0,5,21
push_sum,fully_connected,10,0.5,0.1,50,16
push_sum,grid,20,0,0.1,5,9
push_sum,imperfect_grid,10,0.5,0.5,5,8
push_sum,imperfect_grid,10,0.1,0.1,25,11
push_sum,fully_connected,20,0.5,0.1,25,11
push_sum,fully_connected,10,0.1,0.1,5,16
push_sum,imperfect_grid,10,0.5,0.1,25,18
push_sum,line,10,0.5,0.1,25,16
push_sum,imperfect_grid,10,0.1,0,25,13
push_sum,fully_connected,20,0.5,0.1,5,9
push_sum,line,20,0,0.1,5,26
push_sum,fully_connected,20,0.1,0.5,50,8
push_sum,imperfect_grid,10,0,0.1,5,16
push_sum,fully_connected,10,0.5,0.1,25,28
push_sum,line,10,0.5,0.5,50,7
push_sum,imperfect_grid,10,0,0,5,21
push_sum,imperfect_grid,10,0.5,0,25,12
push_sum,grid,10,0.5,0.1,5,16
push_sum,grid,20,0,0.5,50,7
push_sum,fully_connected,20,0,0.1,5,17
push_sum,fully_connected,20,0.5,0.1,50,13
push_sum,line,20,0,0.5,25,8
push_sum,fully_connected,10,0.1,0.1,50,32
push_sum,line,10,0.5,0.1,50,20
push_sum,grid,20,0.1,0.5,25,7
push_sum,imperfect_grid,10,0.5,0,5,17
push_sum,grid,20,0.1,0.5,50,7
push_sum,line,20,0.5,0.1,5,7
push_sum,imperfect_grid,10,0.5,0.5,50,10
push_sum,grid,20,0.5,0.5,25,10
push_sum,fully_connected,20,0,0.5,50,9
push_sum,grid,20,0,0.1,25,17
push_sum,grid,20,0.5,0.5,50,7
push_sum,imperfect_grid,5,0.5,0,25,31
push_sum,line,20,0.1,0.1,25,11
push_sum,imperfect_grid,10,0.1,0,50,27
push_sum,grid,20,0.1,0.5,5,7
push_sum,fully_connected,20,0,0.1,25,18
push_sum,grid,20,0.5,0.5,5,7
push_sum,line,20,0.1,0.5,50,7
push_sum,imperfect_grid,10,0.5,0.1,5,19
push_sum,grid,20,0,0.5,5,9
push_sum,grid,10,0.5,0.1,25,21
push_sum,line,20,0.5,0.5,5,7
push_sum,line,10,0,0.5,5,7
push_sum,imperfect_grid,10,0.1,0.5,50,11
push_sum,imperfect_grid,20,0.1,0.5,5,7
push_sum,imperfect_grid,20,0.5,0.1,5,13
push_sum,line,20,0.5,0.1,25,14
push_sum,imperfect_grid,10,0,0,25,17
push_sum,imperfect_grid,10,0.1,0.1,50,12
push_sum,imperfect_grid,10,0.1,0.5,25,10
push_sum,fully_connected,20,0.1,0.1,5,18
push_sum,line,20,0.5,0.5,50,9
push_sum,grid,20,0,0.1,50,8
push_sum,fully_connected,20,0,0.1,50,13
push_sum,fully_connected,20,0,0.5,25,8
push_sum,grid,10,0.1,0,25,10
push_sum,fully_connected,50,0.1,0.5,5,7
push_sum,grid,20,0.5,0.1,5,20
push_sum,imperfect_grid,20,0.5,0.5,25,7
push_sum,imperfect_grid,10,0.5,0,50,12
push_sum,imperfect_grid,20,0,0.5,5,7
push_sum,line,20,0.5,0.5,25,7
push_sum,fully_connected,50,0.1,0.1,25,11
push_sum,fully_connected,50,0.5,0.5,5,7
push_sum,line,20,0,0.5,5,9
push_sum,grid,20,0,0.5,25,7
push_sum,fully_connected,50,0,0.5,50,7
push_sum,imperfect_grid,20,0,0.5,25,12
push_sum,grid,20,0.5,0.1,50,18
push_sum,grid,10,0,0.1,5,27
push_sum,fully_connected,50,0.5,0.5,25,9
push_sum,line,10,0.1,0.5,25,9
push_sum,line,20,0.1,0.1,50,15
push_sum,grid,50,0.5,0.5,50,8
push_sum,fully_connected,50,0,0.1,5,10
push_sum,line,20,0.1,0.1,5,18
push_sum,fully_connected,50,0.5,0.5,50,7
push_sum,grid,50,0.1,0.5,5,7
push_sum,fully_connected,20,0.1,0.1,25,30
push_sum,imperfect_grid,20,0.1,0.5,25,9
push_sum,fully_connected,50,0,0.5,5,7
push_sum,imperfect_grid,20,0.5,0.5,5,9
push_sum,fully_connected,50,0,0.1,25,31
push_sum,fully_connected,50,0,0.5,25,7
push_sum,grid,50,0.5,0.5,5,9
push_sum,imperfect_grid,20,0,0.5,50,8
push_sum,fully_connected,50,0,0.1,50,11
push_sum,line,50,0.1,0.5,5,7
push_sum,imperfect_grid,20,0.5,0.1,50,9
push_sum,line,10,0.5,0.5,25,7
push_sum,imperfect_grid,20,0.5,0,5,20
push_sum,grid,20,0.1,0.1,5,16
push_sum,grid,50,0.1,0.5,25,7
push_sum,fully_connected,50,0.1,0.1,50,12
push_sum,imperfect_grid,20,0.5,0.5,50,7
push_sum,imperfect_grid,20,0.1,0.1,25,10
push_sum,line,20,0.5,0.1,50,8
push_sum,line,50,0,0.5,25,7
push_sum,imperfect_grid,20,0.1,0,25,19
push_sum,line,20,0.1,0.5,5,7
push_sum,fully_connected,50,0.1,0.5,50,10
push_sum,fully_connected,50,0.5,0.1,50,19
push_sum,imperfect_grid,20,0,0.1,25,9
push_sum,imperfect_grid,20,0.5,0.1,25,31
push_sum,line,50,0,0.5,50,7
push_sum,line,50,0.5,0.1,25,7
push_sum,fully_connected,50,0.1,0.1,5,27
push_sum,grid,50,0,0.5,50,9
push_sum,line,50,0.1,0.5,25,8
push_sum,imperfect_grid,20,0,0.1,5,11
push_sum,line,50,0.5,0.5,25,7
push_sum,line,50,0,0.1,25,11
push_sum,imperfect_grid,50,0,0.1,25,9
push_sum,grid,50,0,0.5,25,7
push_sum,grid,20,0.1,0.1,25,11
push_sum,imperfect_grid,50,0.1,0.5,5,7
push_sum,imperfect_grid,20,0.1,0.5,50,7
push_sum,line,50,0.1,0.5,50,7
push_sum,line,50,0.1,0.1,5,9
push_sum,line,20,0,0.1,50,7
push_sum,grid,20,0.5,0.1,25,39
push_sum,imperfect_grid,50,0,0.1,5,13
push_sum,imperfect_grid,50,0.5,0.5,5,11
push_sum,grid,50,0.1,0.1,50,11
push_sum,imperfect_grid,50,0.5,0.5,25,11
push_sum,imperfect_grid,20,0.1,0.1,5,16
push_sum,grid,50,0,0.1,5,20
push_sum,grid,50,0.1,0.5,50,7
push_sum,imperfect_grid,50,0.1,0.5,25,9
push_sum,imperfect_grid,50,0.5,0.5,50,7
push_sum,imperfect_grid,50,0.1,0.1,50,10
push_sum,imperfect_grid,10,0,0.1,50,40
push_sum,imperfect_grid,20,0,0.1,50,23
push_sum,fully_connected,50,0.1,0.5,25,8
push_sum,imperfect_grid,20,0.1,0,50,28
push_sum,fully_connected,75,0.5,0.5,25,7
push_sum,imperfect_grid,50,0,0.5,25,12
push_sum,line,50,0.5,0.1,5,7
push_sum,line,50,0.5,0.1,50,17
push_sum,fully_connected,75,0,0.5,25,7
push_sum,grid,75,0.1,0.5,5,7
push_sum,imperfect_grid,50,0,0.5,5,7
push_sum,fully_connected,75,0.5,0.5,5,9
push_sum,fully_connected,75,0,0.5,5,7
push_sum,line,20,0,0.1,25,30
push_sum,imperfect_grid,50,0.1,0.5,50,8
push_sum,line,20,0,0.5,50,7
push_sum,grid,5,0.5,0,25,455
push_sum,fully_connected,75,0.1,0.5,50,9
push_sum,fully_connected,75,0.1,0.1,5,11
push_sum,fully_connected,75,0.5,0.1,50,7
push_sum,fully_connected,50,0.5,0.1,25,17
push_sum,fully_connected,50,0.5,0.1,5,39
push_sum,imperfect_grid,50,0,0,5,11
push_sum,grid,75,0,0.5,25,7
push_sum,grid,50,0,0.1,50,22
push_sum,imperfect_grid,50,0,0.1,50,23
push_sum,line,50,0.1,0.1,50,21
