Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,line,75,0.5,0.1,10,8,"violent"
push_sum,grid,100,0.5,0.5,10,8,"violent"
push_sum,grid,250,0,0.5,10,7,"violent"
push_sum,fully_connected,100,0.1,0.1,10,15,"violent"
push_sum,grid,250,0.5,0.5,10,7,"violent"
push_sum,fully_connected,75,0.5,0.5,10,11,"violent"
push_sum,imperfect_grid,75,0.5,0.5,10,8,"violent"
push_sum,imperfect_grid,100,0.5,0.1,10,8,"violent"
push_sum,fully_connected,250,0.1,0.5,10,12,"violent"
push_sum,fully_connected,250,0,0.5,10,7,"violent"
push_sum,line,250,0,0.1,10,9,"violent"
push_sum,fully_connected,250,0.5,0.5,10,10,"violent"
push_sum,imperfect_grid,10,0.1,0.5,10,8,"violent"
push_sum,imperfect_grid,50,0,0,10,79,"violent"
push_sum,line,250,0.5,0.5,10,7,"violent"
push_sum,imperfect_grid,250,0.1,0.1,10,9,"violent"
push_sum,grid,100,0.5,0.1,10,10,"violent"
push_sum,imperfect_grid,100,0.1,0.5,10,7,"violent"
push_sum,fully_connected,400,0,0.5,10,8,"violent"
push_sum,fully_connected,250,0.5,0.1,10,9,"violent"
push_sum,grid,50,0.1,0.1,10,12,"violent"
push_sum,line,250,0.1,0.5,10,7,"violent"
push_sum,grid,250,0,0.1,10,28,"violent"
push_sum,grid,400,0.1,0.5,10,7,"violent"
push_sum,line,250,0.5,0.1,10,39,"violent"
push_sum,imperfect_grid,250,0.1,0.5,10,7,"violent"
push_sum,grid,250,0.1,0.1,10,17,"violent"
push_sum,fully_connected,400,0.5,0.5,10,9,"violent"
push_sum,imperfect_grid,250,0.5,0.5,10,8,"violent"
push_sum,grid,400,0.5,0.5,10,8,"violent"
push_sum,grid,75,0,0.1,10,27,"violent"
push_sum,fully_connected,400,0.1,0.1,10,17,"violent"
push_sum,line,20,0,0.5,10,7,"violent"
push_sum,line,250,0,0.5,10,7,"violent"
push_sum,grid,20,0,0,10,2440,"violent"
push_sum,imperfect_grid,250,0,0.5,10,7,"violent"
push_sum,line,400,0,0.1,10,7,"violent"
push_sum,imperfect_grid,250,0,0.1,10,11,"violent"
push_sum,imperfect_grid,20,0.1,0,10,94,"violent"
push_sum,imperfect_grid,100,0.1,0.1,10,7,"violent"
push_sum,fully_connected,400,0.1,0.5,10,7,"violent"
push_sum,grid,250,0.1,0.5,10,9,"violent"
push_sum,line,400,0.1,0.5,10,7,"violent"
push_sum,line,400,0,0.5,10,7,"violent"
push_sum,imperfect_grid,250,0.5,0.1,10,16,"violent"
push_sum,line,400,0.5,0.1,10,7,"violent"
push_sum,fully_connected,500,0,0.5,10,8,"violent"
push_sum,imperfect_grid,400,0,0.5,10,8,"violent"
push_sum,grid,400,0,0.1,10,35,"violent"
push_sum,grid,400,0,0.5,10,7,"violent"
push_sum,fully_connected,500,0.5,0.5,10,8,"violent"
push_sum,imperfect_grid,400,0,0.1,10,22,"violent"
push_sum,fully_connected,400,0.5,0.1,10,44,"violent"
push_sum,grid,400,0.1,0.1,10,34,"violent"
push_sum,fully_connected,500,0.1,0.1,10,22,"violent"
push_sum,fully_connected,100,0.5,0.5,10,8,"violent"
push_sum,imperfect_grid,400,0.5,0.5,10,7,"violent"
push_sum,grid,500,0,0.1,10,7,"violent"
push_sum,grid,500,0.5,0.1,10,20,"violent"
push_sum,fully_connected,500,0.1,0.5,10,8,"violent"
push_sum,imperfect_grid,400,0.1,0.1,10,21,"violent"
push_sum,line,250,0.1,0.1,10,32,"violent"
push_sum,imperfect_grid,400,0.5,0.1,10,20,"violent"
push_sum,grid,250,0.5,0.1,10,54,"violent"
push_sum,line,500,0,0.5,10,7,"violent"
push_sum,grid,10,0.5,0,10,850,"violent"
push_sum,grid,500,0.1,0.5,10,9,"violent"
push_sum,imperfect_grid,500,0,0.5,10,7,"violent"
push_sum,line,500,0,0.1,10,25,"violent"
push_sum,fully_connected,400,0,0.1,10,23,"violent"
push_sum,fully_connected,1000,0,0.5,10,8,"violent"
push_sum,line,500,0.1,0.5,10,7,"violent"
push_sum,imperfect_grid,500,0.1,0.5,10,7,"violent"
push_sum,imperfect_grid,500,0.5,0.1,10,8,"violent"
push_sum,fully_connected,500,0,0.1,10,11,"violent"
push_sum,grid,500,0,0.5,10,7,"violent"
push_sum,fully_connected,1000,0.1,0.1,10,14,"violent"
push_sum,fully_connected,1000,0.5,0.5,10,8,"violent"
push_sum,line,500,0.5,0.5,10,7,"violent"
push_sum,line,1000,0,0.1,10,8,"violent"
push_sum,imperfect_grid,500,0.1,0.1,10,20,"violent"
push_sum,fully_connected,1000,0,0.1,10,7,"violent"
push_sum,imperfect_grid,500,0,0.1,10,10,"violent"
push_sum,grid,1000,0.1,0.5,10,7,"violent"
push_sum,line,1000,0.5,0.1,10,16,"violent"
push_sum,grid,1000,0.1,0.1,10,7,"violent"
push_sum,line,1000,0.1,0.1,10,7,"violent"
push_sum,line,1000,0.5,0.5,10,7,"violent"
push_sum,grid,1000,0,0.5,10,7,"violent"
push_sum,imperfect_grid,10,0.5,0,10,137,"violent"
push_sum,grid,500,0.5,0.5,10,8,"violent"
push_sum,line,1000,0.1,0.5,10,7,"violent"
push_sum,grid,1000,0,0.1,10,10,"violent"
push_sum,imperfect_grid,1000,0,0.1,10,17,"violent"
push_sum,grid,500,0.1,0.1,10,7,"violent"
push_sum,grid,1000,0.5,0.5,10,8,"violent"
push_sum,imperfect_grid,1000,0.5,0.5,10,9,"violent"
push_sum,imperfect_grid,1000,0.1,0.1,10,17,"violent"
push_sum,line,500,0.5,0.1,10,7,"violent"
push_sum,line,500,0.1,0.1,10,7,"violent"
push_sum,line,400,0.5,0.5,10,7,"violent"
push_sum,fully_connected,20,0,0,10,855,"violent"
push_sum,line,1000,0,0.5,10,7,"violent"
push_sum,fully_connected,1000,0.1,0.5,10,8,"violent"
push_sum,imperfect_grid,400,0.1,0.5,10,7,"violent"
push_sum,fully_connected,500,0.5,0.1,10,13,"violent"
push_sum,imperfect_grid,1000,0,0.5,10,7,"violent"
push_sum,fully_connected,1000,0.5,0.1,10,14,"violent"
push_sum,imperfect_grid,1000,0.5,0.1,10,20,"violent"
push_sum,grid,1000,0.5,0.1,10,8,"violent"
push_sum,imperfect_grid,1000,0.1,0.5,10,8,"violent"
push_sum,fully_connected,75,0.5,0.1,10,52,"violent"
push_sum,line,400,0.1,0.1,10,8,"violent"
push_sum,imperfect_grid,500,0.5,0.5,10,9,"violent"
push_sum,grid,400,0.5,0.1,10,29,"violent"
push_sum,imperfect_grid,75,0.1,0,10,199,"violent"
push_sum,imperfect_grid,100,0.5,0,10,278,"violent"
push_sum,imperfect_grid,75,0.5,0,10,260,"violent"
push_sum,imperfect_grid,50,0.5,0,10,462,"violent"
push_sum,imperfect_grid,500,0.5,0,10,251,"violent"
push_sum,imperfect_grid,250,0.1,0,10,387,"violent"
push_sum,imperfect_grid,75,0,0,10,403,"violent"
push_sum,fully_connected,10,0,0,10,444,"violent"
push_sum,imperfect_grid,100,0.1,0,10,424,"violent"
push_sum,fully_connected,10,0.1,0,10,443,"violent"
push_sum,fully_connected,10,0.5,0,10,446,"violent"
push_sum,imperfect_grid,400,0.1,0,10,646,"violent"
push_sum,line,10,0,0,10,694,"violent"
push_sum,grid,10,0,0,10,808,"violent"
push_sum,grid,10,0.1,0,10,798,"violent"
push_sum,fully_connected,20,0.5,0,10,716,"violent"
push_sum,imperfect_grid,500,0.1,0,10,841,"violent"
push_sum,imperfect_grid,250,0.5,0,10,1073,"violent"
push_sum,fully_connected,20,0.1,0,10,821,"violent"
push_sum,imperfect_grid,250,0,0,10,1661,"violent"
push_sum,imperfect_grid,100,0,0,10,1327,"violent"
push_sum,imperfect_grid,1000,0.5,0,10,1789,"violent"
push_sum,imperfect_grid,400,0.5,0,10,1844,"violent"
push_sum,line,10,0.5,0,10,1352,"violent"
push_sum,line,10,0.1,0,10,1598,"violent"
push_sum,imperfect_grid,1000,0.1,0,10,2341,"violent"
push_sum,fully_connected,50,0.1,0,10,2179,"violent"
push_sum,fully_connected,50,0.5,0,10,2494,"violent"
push_sum,fully_connected,50,0,0,10,2311,"violent"
push_sum,grid,20,0.1,0,10,2717,"violent"
push_sum,fully_connected,75,0,0,10,3042,"violent"
push_sum,grid,20,0.5,0,10,2622,"violent"
push_sum,fully_connected,75,0.1,0,10,3576,"violent"
push_sum,fully_connected,75,0.5,0,10,3654,"violent"
push_sum,fully_connected,100,0.5,0,10,3710,"violent"
push_sum,fully_connected,100,0.1,0,10,4357,"violent"
push_sum,imperfect_grid,500,0,0,10,5499,"violent"
push_sum,fully_connected,100,0,0,10,5108,"violent"
push_sum,imperfect_grid,1000,0,0,10,7154,"violent"
push_sum,imperfect_grid,400,0,0,10,6749,"violent"
